gazetteerId_村志代码,villageInnerId_村庄内部代码,countyId_县区代码,cityId_市代码,provinceId_省代码
632,632,4.0,120,10
633,633,334.0,4,1
634,634,399.0,154,24
635,635,522.0,133,28
636,636,399.0,154,24
637,637,113.0,177,28
638,638,470.0,84,15
639,639,215.0,119,24
640,640,526.0,32,24
641,641,484.0,4,1
642,642,424.0,167,24
643,643,23.0,129,10
644,644,252.0,163,15
645,645,416.0,21,2
646,646,100.0,15,2
647,647,211.0,156,2
648,648,162.0,99,2
650,650,161.0,99,2
651,651,444.0,99,2
652,652,188.0,51,2
653,653,303.0,198,19
654,654,164.0,98,15
655,655,226.0,59,19
656,656,117.0,78,17
658,658,161.0,99,2
659,659,254.0,21,2
660,660,161.0,99,2
662,662,230.0,27,4
663,663,415.0,120,10
664,664,337.0,27,4
665,665,180.0,10,11
666,666,208.0,32,24
667,667,17.0,40,11
668,668,255.0,27,4
669,669,146.0,54,7
670,670,125.0,27,4
671,671,77.0,13,26
672,672,NULL,52,26
673,673,320.0,2,24
674,674,7.0,198,19
675,675,515.0,58,24
676,676,72.0,46,28
677,677,472.0,138,10
678,678,365.0,141,18
679,679,319.0,143,18
680,680,531.0,101,11
681,681,13.0,27,4
682,682,291.0,206,11
683,683,266.0,177,28
684,684,479.0,196,21
685,685,486.0,193,18
686,686,456.0,97,18
687,687,288.0,111,28
688,688,551.0,84,15
689,689,154.0,20,17
690,690,256.0,100,11
691,691,523.0,27,4
692,692,14.0,93,17
693,693,93.0,129,10
694,694,482.0,65,28
695,695,461.0,27,4
696,696,330.0,101,11
697,697,255.0,27,4
698,698,368.0,3,18
699,699,190.0,193,18
700,700,151.0,134,19
701,701,131.0,2,24
702,702,317.0,101,11
703,703,295.0,71,15
704,704,474.0,193,18
705,705,97.0,124,10
706,706,183.0,209,10
707,707,295.0,71,15
708,708,313.0,98,15
709,709,433.0,105,19
710,710,68.0,198,19
711,711,469.0,191,17
712,712,430.0,209,10
713,713,255.0,27,4
714,714,52.0,154,24
715,715,265.0,27,4
716,716,258.0,119,24
718,718,304.0,119,24
719,719,440.0,58,24
720,720,203.0,111,28
721,721,395.0,111,28
722,722,206.0,105,19
723,723,343.0,129,10
724,724,351.0,65,28
725,725,183.0,209,10
726,726,96.0,124,10
727,727,530.0,164,12
728,728,97.0,124,10
729,729,334.0,4,1
730,730,484.0,4,1
731,731,411.0,111,28
732,732,282.0,85,2
733,733,334.0,4,1
734,734,69.0,217,25
735,735,210.0,163,15
736,736,255.0,27,4
737,737,343.0,129,10
738,738,142.0,40,11
739,739,252.0,163,15
740,740,252.0,163,15
741,741,326.0,186,11
742,742,229.0,177,28
743,743,239.0,40,11
744,744,129.0,51,2
745,745,366.0,187,15
746,746,419.0,76,12
747,747,548.0,206,11
748,748,334.0,4,1
749,749,166.0,99,2
750,750,221.0,70,6
751,751,416.0,21,2
752,752,153.0,182,6
753,753,197.0,70,6
754,754,173.0,102,2
755,755,161.0,99,2
756,756,351.0,65,28
757,757,103.0,133,28
758,758,288.0,111,28
759,759,511.0,177,28
760,760,42.0,99,2
761,761,28.0,203,15
762,762,28.0,203,15
763,763,334.0,4,1
764,764,334.0,4,1
765,765,295.0,71,15
766,766,295.0,71,15
767,767,28.0,203,15
768,768,484.0,4,1
769,769,484.0,4,1
770,770,10.0,8,12
771,771,133.0,76,12
772,772,138.0,4,1
773,773,101.0,58,24
774,774,218.0,27,4
775,775,265.0,27,4
776,776,234.0,142,10
777,777,398.0,142,10
778,778,395.0,111,28
779,779,133.0,76,12
780,780,393.0,100,11
781,781,228.0,168,10
782,782,183.0,209,10
783,783,339.0,142,10
784,784,133.0,76,12
785,785,330.0,101,11
786,786,69.0,217,25
787,787,327.0,119,24
788,788,419.0,76,12
789,789,247.0,219,24
790,790,334.0,4,1
791,791,309.0,59,19
792,792,178.0,55,11
793,793,265.0,27,4
794,794,265.0,27,4
795,795,337.0,27,4
796,796,411.0,111,28
797,797,142.0,40,11
798,798,6.0,6,12
799,799,337.0,27,4
800,800,6.0,6,12
801,801,334.0,4,1
802,802,99.0,10,11
803,803,255.0,27,4
804,804,495.0,206,11
805,805,218.0,27,4
806,806,20.0,105,19
807,807,484.0,4,1
808,808,484.0,4,1
809,809,395.0,111,28
810,810,266.0,177,28
811,811,240.0,153,17
812,812,509.0,21,2
813,813,379.0,193,18
814,814,308.0,73,18
